sample	site	type	month.year
LP84	Tumon	diseased	Feb24
LP85	Tumon	diseased	Feb24
LP86	Luminao	healthy	Feb24
LP87	Luminao	healthy	Feb24
LP88	Luminao	healthy	Feb24
LP89	Luminao	healthy	Feb24
LP90	Tumon	healthy	Feb24
LP91	Tumon	healthy	Feb24
LP92	Tumon	healthy	Feb24
LP93	Tumon	healthy	Feb24
LP94	Tumon	healthy	Feb24
LP95	Tumon	healthy	Feb24
LP96	Tumon	healthy	Feb24
LP97	Luminao	diseased	May24
LP98	Luminao	diseased	May24
LP99	Luminao	diseased	May24
