sampleID	site	month	year	season	cat	cat2	month.year	type	colony.name	colony.name2	colony.no	lesion.name	lesion.type	lesion.size	progr.rate	date
LP43	Tumon	Nov	2023	wet	T-H	Tu-Nov	Nov.23	healthy	H	H	92	92-H1+H2+H3	na	na	na	12/1/2023
LP45	Tumon	Nov	2023	wet	T-H	Tu-Nov	Nov.23	healthy	I	F	93	93-H1+H2+H3	na	na	na	12/1/2023
LP46	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	A	A	72	72-brown	S	0.3	0	2/23/2024
LP47	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	A	A	72	72-gold	A	1.09	0.19	2/23/2024
LP48	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	A	A	72	72-green	S	0.3	0	2/23/2024
LP49	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	A	A	72	72-pink	A	0.79	0.14	2/23/2024
LP5	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	A	A	72	72-white	A	1.16	0.35	11/24/2023
LP50	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	A	A	72	72-yellow	S	0.28	0	2/23/2024
LP51	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	B	B	74	74-purple	A	1.59	0.43	2/23/2024
LP52	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	B	B	74	74-lightblue	S	0.88	0	2/23/2024
LP53	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	B	B	74	74-brown	A	1.26	0.09	2/23/2024
LP54	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	B	B	74	74-pink	A	1.15	0.11	2/23/2024
LP55	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	B	B	74	74-gold	S	2.43	0	2/23/2024
LP56	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	C	C	78	78-gold	A	0.93	0.19	2/23/2024
LP57	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	C	C	78	78-gray	A	0.61	0.15	2/23/2024
LP58	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	C	C	78	78-light-blue	S	0.68	0	2/23/2024
LP59	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	C	C	78	78-purple	A	1.32	0.21	2/23/2024
LP6	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	B	B	74	74-red	S	1.28	0	11/24/2023
LP60	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	C	C	78	78-blue	S	0.7	0	2/23/2024
LP61	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	D	D	79	79-brown	A	0.9	0.13	2/23/2024
LP62	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	D	D	79	79-gray	A	0.59	0.08	2/23/2024
LP63	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	D	D	79	79-green	A	3.03	0.09	2/23/2024
LP64	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	D	D	79	79-purple	A	1.78	0.6	2/23/2024
LP65	Luminao	Feb	2024	dry	L-D	Lu-Feb	Feb.24	diseased	D	D	79	79-yellow	A	1.51	0.09	2/23/2024
LP66	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	E	E	81	81-brown	S	1.83	0	3/1/2024
LP67	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	E	E	81	81-pink	S	0.84	0	3/1/2024
LP68	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	F	E	83	83-gray	S	2.15	0	3/1/2024
LP69	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	F	E	83	83-pink	A	2.78	0.11	3/1/2024
LP7	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	B	B	74	74-orange	A	2.29	0.59	11/24/2023
LP70	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	F	F	87	87-brown	S	0.3	0	3/1/2024
LP71	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	F	F	87	87-green	S	0.48	0	3/1/2024
LP72	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	F	F	87	87-pink	S	3.74	0	3/1/2024
LP73	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	G	G	91	91-brown	S	5.65	0	3/1/2024
LP74	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	G	G	91	91-gray	A	4.11	0.7	3/1/2024
LP76	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	G	F	91	91-pink	S	0.73	0	3/1/2024
LP77	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	I	G	93	93-brown	S	2.82	0	3/1/2024
LP78	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	I	G	93	93-pink	S	1.5	0	3/1/2024
LP79	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	J	H	94	94-brown	S	4.76	0	3/1/2024
LP8	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	B	B	74	74-yellow	A	3.85	0.41	11/24/2023
LP80	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	J	G	94	94-gray	S	0.83	0	3/1/2024
LP81	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	J	F	94	94-green	S	0.98	0	3/1/2024
LP82	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	J	H	94	94-pink	S	1.34	0	3/1/2024
LP83	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	K	H	95	95-pink	S	2.88	0	3/1/2024
LP84	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	K	H	95	95-brown	S	2.92	0	3/1/2024
LP85	Tumon	Feb	2024	dry	T-D	Tu-Feb	Feb.24	diseased	K	H	95	95-gray	S	0.7	0	3/1/2024
LP86	Luminao	Feb	2024	dry	L-H	Lu-Feb	Feb.24	healthy	A	A	72	72-H1+H2+H3	na	na	na	2/23/2024
LP87	Luminao	Feb	2024	dry	L-H	Lu-Feb	Feb.24	healthy	B	B	74	74-H1+H2+H3	na	na	na	2/23/2024
LP88	Luminao	Feb	2024	dry	L-H	Lu-Feb	Feb.24	healthy	C	C	78	78-H1+H2+H3	na	na	na	2/23/2024
LP89	Luminao	Feb	2024	dry	L-H	Lu-Feb	Feb.24	healthy	D	D	79	79-H1+H2+H3	na	na	na	2/23/2024
LP90	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	E	E	81	81-H1+H2	na	na	na	3/1/2024
LP91	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	F	F	83	83-H1+H2	na	na	na	3/1/2024
LP92	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	F	F	87	87-H1+H2	na	na	na	3/1/2024
LP93	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	G	G	91	91-H1+H2	na	na	na	3/1/2024
LP94	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	I	G	93	93-H21+H2	na	na	na	3/1/2024
LP95	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	J	F	94	94-H1+H2	na	na	na	3/1/2024
LP96	Tumon	Feb	2024	dry	T-H	Tu-Feb	Feb.24	healthy	K	H	95	95-H1+H2	na	na	na	3/1/2024
LP97	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	A	A	72	72-gray	S	1.4	0	5/31/2024
LP98	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	A	A	72	72-green	A	1.19	0.16	5/31/2024
LP99	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	A	A	72	72-orange	S	1.89	0	5/31/2024
