sampleID	site	month	year	season	cat	cat2	month.year	type	colony.name	colony.name2	colony.no	lesion.name	lesion.type	lesion.size	progr.rate	date
eDNA55	Tumon	Mar	2024	dry	T-S	Tu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/20/2024
eDNA56	Tumon	Mar	2024	dry	T-S	Tu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/20/2024
eDNA57	Tumon	Mar	2024	dry	T-S	Tu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/20/2024
eDNA58	Luminao	Mar	2024	dry	L-S	Lu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/21/2024
eDNA59	Luminao	Mar	2024	dry	L-S	Lu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/21/2024
eDNA6	Luminao	Oct	2023	wet	L-S	Lu-Oct	Oct.23	sediment	na	na	na	na	na	na	na	10/24/2023
eDNA60	Luminao	Mar	2024	dry	L-S	Lu-Mar	Mar.24	sediment	na	na	na	na	na	na	na	3/21/2024
eDNA61	Tumon	May	2024	dry	T-S	Tu-May	May.24	sediment	na	na	na	na	na	na	na	6/3/2024
eDNA62	Tumon	May	2024	dry	T-S	Tu-May	May.24	sediment	na	na	na	na	na	na	na	6/3/2024
eDNA63	Tumon	May	2024	dry	T-S	Tu-May	May.24	sediment	na	na	na	na	na	na	na	6/3/2024
eDNA64	Luminao	May	2024	dry	L-S	Lu-May	May.24	sediment	na	na	na	na	na	na	na	5/29/2024
eDNA65	Luminao	May	2024	dry	L-S	Lu-May	May.24	sediment	na	na	na	na	na	na	na	5/29/2024
eDNA66	Luminao	May	2024	dry	L-S	Lu-May	May.24	sediment	na	na	na	na	na	na	na	5/29/2024
eDNA67	Tumon	Aug	2024	wet	T-S	Tu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA68	Tumon	Aug	2024	wet	T-S	Tu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA69	Tumon	Aug	2024	wet	T-S	Tu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA7	Luminao	Nov	2023	wet	L-S	Lu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/20/2023
eDNA70	Luminao	Aug	2024	wet	L-S	Lu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA71	Luminao	Aug	2024	wet	L-S	Lu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA72	Luminao	Aug	2024	wet	L-S	Lu-Aug	Aug.24	sediment	na	na	na	na	na	na	na	8/12/2024
eDNA8	Luminao	Nov	2023	wet	L-S	Lu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/20/2023
eDNA9	Luminao	Nov	2023	wet	L-S	Lu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/20/2023
LP1	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	A	A	72	72-red	A	1.38	0.17	11/24/2023
LP10	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	B	B	74	74-white	S	1.57	0	11/24/2023
LP100	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	A	A	72	72-pink	S	0.33	0	5/31/2024
LP101	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	A	A	72	72-purple	S	1.17	0	5/31/2024
LP102	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	B	B	74	74-blue 	A	0.45	0.06	5/31/2024
LP103	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	B	B	74	74-green	S	0.23	0	5/31/2024
LP104	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	B	B	74	74-orange	A	0.52	0.02	5/31/2024
LP105	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	B	B	74	74-pink	S	0.49	0	5/31/2024
LP106	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	B	B	74	74-yellow	A	0.76	0.08	5/31/2024
LP107	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	C	C	78	78-blue 	S	0.26	0	5/31/2024
LP108	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	C	C	78	78-green	S	0.84	0	5/31/2024
LP109	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	C	C	78	78-pink	A	0.57	0.06	5/31/2024
LP11	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	C	C	78	78-red	S	0.42	0	11/24/2023
LP110	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	C	C	78	78-purple	S	0.48	0	5/31/2024
LP111	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	C	C	78	78-yellow	S	0.69	0	5/31/2024
LP112	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	D	D	79	79-blue 	A	0.51	0.15	5/31/2024
LP113	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	D	D	79	79-gray	A	0.57	0.14	5/31/2024
LP114	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	D	D	79	79-green	A	0.41	0.41	5/31/2024
LP115	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	D	D	79	79-pink	S	0.79	0	5/31/2024
LP116	Luminao	May	2024	tran	L-D	Lu-May	May.24	diseased	D	D	79	79-purple	S	0.19	0	5/31/2024
LP117	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	F	83	83-gray	A	1.99	0.66	6/7/2024
LP118	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	F	83	83-green	S	3.06	0	6/7/2024
LP119	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	F	83	83-orange	A	2.35	0.31	6/7/2024
LP12	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	C	C	78	78-orange	S	0.37	0	11/24/2023
LP120	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	F	83	83-purple	S	0.97	0	6/7/2024
LP121	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	F	83	83-yellow	S	2.82	0	6/7/2024
LP122	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	G	G	86	86-blue-a	S	1.26	0	6/7/2024
LP123	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	G	G	86	86-blue-b	S	1.23	0	6/7/2024
LP124	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	G	G	86	86-green	S	0.75	0	6/7/2024
LP125	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	G	G	86	86-yellow	S	1.65	0	6/7/2024
LP126	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	F	G	87	87-yellow	A	8.02	1.36	6/7/2024
LP127	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	E	E	88	88-gray	S	6.14	0	6/7/2024
LP128	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	E	E	88	88-pink	S	5.39	0	6/7/2024
LP129	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	J	H	94	94-green	S	2.84	0	6/7/2024
LP13	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	C	C	78	78-yellow	A	0.7	0.07	11/24/2023
LP130	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	J	E	94	94-orange	A	1.46	0.26	6/7/2024
LP131	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	J	H	94	94-yellow	A	2.13	0.36	6/7/2024
LP132	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	L	H	97	97-orange	S	0.21	0	6/7/2024
LP133	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	L	H	97	97-yellow	S	0.68	0	6/7/2024
LP134	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	L	H	97	97-pink	S	0.81	0	6/7/2024
LP135	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	M	E	98	98-purple	S	0.31	0	6/7/2024
LP136	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	M	H	98	98-orange	S	1.7	0	6/7/2024
LP137	Tumon	May	2024	tran	T-D	Tu-May	May.24	diseased	M	E	98	98-blue	S	0.37	0	6/7/2024
LP138	Luminao	May	2024	dry	L-H	Lu-May	May.24	healthy	A	A	72	72-H1+H2+H3	na	na	na	5/31/2024
LP139	Luminao	May	2024	dry	L-H	Lu-May	May.24	healthy	B	B	74	74-H1+H2+H3	na	na	na	5/31/2024
LP14	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	C	C	78	78-black	S	0.72	0	11/24/2023
LP140	Luminao	May	2024	dry	L-H	Lu-May	May.24	healthy	C	C	78	78-H1+H2+H3	na	na	na	5/31/2024
LP141	Luminao	May	2024	dry	L-H	Lu-May	May.24	healthy	D	D	79	79-H1+H2+H3	na	na	na	5/31/2024
LP142	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	F	F	83	83-H1+H2+H3	na	na	na	6/7/2024
LP143	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	G	G	86	86-H1+H2	na	na	na	6/7/2024
LP144	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	F	F	87	87-H1	na	na	na	6/7/2024
LP145	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	E	E	88	88-H1	na	na	na	6/7/2024
LP146	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	J	H	94	94-H1+H2	na	na	na	6/7/2024
LP147	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	L	E	97	97-H1+H2	na	na	na	6/7/2024
LP148	Tumon	May	2024	dry	T-H	Tu-May	May.24	healthy	M	G	98	98-H1+H2	na	na	na	6/7/2024
LP149	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	A	A	72	72-gold	S	1.45	0	8/23/2024
LP15	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	C	C	78	78-white	A	1.7	0.28	11/24/2023
LP150	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	A	A	72	72-light blue 	S	2.9	0	8/23/2024
LP151	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	A	A	72	72-orange	S	0.52	0	8/23/2024
LP152	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	A	A	72	72-pink	A	1	0.18	8/23/2024
LP153	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	A	A	72	72-yellow	A	4.67	0.41	8/23/2024
LP154	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	C	C	78	78-gold	A	1.24	0.21	8/23/2024
