	Kingdom	Phylum	Class	Order	Family	Genus
ASV509	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV313	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
ASV172	Bacteria	Pseudomonadota	Gammaproteobacteria	Ga0077536	Ga0077536	Ga0077536
ASV335	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UF	Gammaproteobacteria
ASV452	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UF	Gammaproteobacteria
ASV658	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UF	Gammaproteobacteria
ASV308	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UF	Endothiovibrio
ASV576	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UF	Endothiovibrio
ASV603	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_UG	Gammaproteobacteria_UF
ASV344	Bacteria	Pseudomonadota	Gammaproteobacteria	HOC36	HOC36	HOC36
ASV269	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	CI75cm.2.12
ASV760	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	CI75cm.2.12
ASV745	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	Cm1-21
ASV380	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	SZB85
ASV637	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	SZB85
ASV608	Bacteria	Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	pItb-vmat-80	pItb-vmat-80
ASV273	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	BD2-7	BD2-7
ASV346	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	BD2-7	BD2-7
ASV715	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	BD2-7	BD2-7
ASV534	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Eionea
ASV239	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Maricurvus
ASV477	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Pseudoteredinibacter
ASV330	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas
ASV2	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Parendozoicomonas
ASV3	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Parendozoicomonas
ASV52	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Parendozoicomonas
ASV58	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Parendozoicomonas
ASV235	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Congregibacter
ASV249	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halieaceae
ASV114	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade
ASV53	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea
ASV514	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea
ASV750	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea
ASV280	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Seongchinamella
ASV425	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade
ASV478	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade
ASV480	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade
ASV482	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade
ASV669	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade
ASV15	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus
ASV30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus
ASV285	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus
ASV29	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea
ASV67	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Neptuniibacter
ASV356	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae
ASV539	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae
ASV547	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae
ASV567	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oceanospirillaceae	Oceanospirillum
ASV524	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade
ASV101	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus
ASV545	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade
ASV451	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella
ASV719	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella
ASV45	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV206	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV690	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV76	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Oleispira
ASV407	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Thalassolituus
ASV467	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Thalassolituus
ASV54	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV102	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV150	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV221	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV274	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV351	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV373	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV378	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV453	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV499	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV572	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV585	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV596	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV666	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV728	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade
ASV98	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV201	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV210	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV213	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV255	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV263	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV265	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV497	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV626	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV503	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermaceae
ASV383	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta
ASV559	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta
ASV310	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
ASV446	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
ASV646	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaetaceae
ASV735	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaetaceae
ASV296	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfocella
ASV97	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfospira
ASV197	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	Desulfococcaceae
ASV385	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea
ASV20	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcinaceae
ASV226	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcinaceae
ASV298	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosudis
ASV228	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV256	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV341	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV342	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV372	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV558	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group
ASV181	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae
ASV251	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae
ASV544	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae
ASV129	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus
ASV311	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus
ASV219	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio
ASV367	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio
ASV705	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Paucidesulfovibrio
ASV457	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio
ASV541	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio
ASV613	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio
ASV679	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio
ASV271	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
ASV145	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	P.palmC41	P.palmC41
ASV245	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Coraliomargarita
ASV248	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Coraliomargarita
ASV520	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Lentimonas
ASV299	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
ASV162	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV287	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV521	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Rubritalea
